,name,date,time code,loc,wea,datetimelabel
2240,black kite,20230411,42,Jubilee,sunny,20230411_42
2241,black kite,20230411,43,Jubilee,sunny,20230411_43
2242,large billed crow,20230411,44,Jubilee,sunny,20230411_44
2243,black kite,20230411,44,Jubilee,sunny,20230411_44
2244,large billed crow,20230411,45,Jubilee,sunny,20230411_45
2245,black kite,20230411,45,Jubilee,sunny,20230411_45
2246,black kite,20230411,47,Jubilee,sunny,20230411_47
2247,black kite,20230411,50,Jubilee,sunny,20230411_50
2248,black kite,20230411,53,Jubilee,sunny,20230411_53
2249,large billed crow,20230324,0,Rocks,sunny,20230324_0
2250,rose ringed parakeet,20230324,0,Rocks,sunny,20230324_0
2251,spotted dove,20230324,0,Rocks,sunny,20230324_0
2252,red whiskered bulbul,20230324,1,Rocks,sunny,20230324_1
2253,large billed crow,20230324,1,Rocks,sunny,20230324_1
2254,white cheeked barbet,20230324,1,Rocks,sunny,20230324_1
2255,white browed bulbul,20230324,2,Rocks,sunny,20230324_2
2256,purple sunbird,20230324,2,Rocks,sunny,20230324_2
2257,ashy prinia,20230324,3,Rocks,sunny,20230324_3
2258,pale billed flowerpecker,20230324,3,Rocks,sunny,20230324_3
2259,red whiskered bulbul,20230324,4,Rocks,sunny,20230324_4
2260,ashy prinia,20230324,4,Rocks,sunny,20230324_4
2261,purple rumped sunbird,20230324,5,Rocks,sunny,20230324_5
2262,rufous treepie,20230324,6,Rocks,sunny,20230324_6
2263,red whiskered bulbul,20230324,6,Rocks,sunny,20230324_6
2264,tickells leaf warbler,20230324,6,Rocks,sunny,20230324_6
2265,booted warbler,20230324,6,Rocks,sunny,20230324_6
2266,pale billed flowerpecker,20230324,8,Rocks,sunny,20230324_8
2267,rose ringed parakeet,20230324,8,Rocks,sunny,20230324_8
2268,rose ringed parakeet,20230324,9,Rocks,sunny,20230324_9
2269,black kite,20230324,10,Rocks,sunny,20230324_10
2270,white browed bulbul,20230324,11,Rocks,sunny,20230324_11
2271,red whiskered bulbul,20230324,12,Rocks,sunny,20230324_12
2272,black kite,20230324,12,Rocks,sunny,20230324_12
2273,rose ringed parakeet,20230324,14,Rocks,sunny,20230324_14
2274,rose ringed parakeet,20230324,19,Rocks,sunny,20230324_19
2275,large billed crow,20230324,19,Rocks,sunny,20230324_19
2276,pale billed flowerpecker,20230324,20,Rocks,sunny,20230324_20
2277,red whiskered bulbul,20230324,20,Rocks,sunny,20230324_20
2278,ashy drongo,20230324,21,Rocks,sunny,20230324_21
2279,black kite,20230324,22,Rocks,sunny,20230324_22
2280,blythes reed warbler,20230324,23,Rocks,sunny,20230324_23
2281,rose ringed parakeet,20230324,24,Rocks,sunny,20230324_24
2282,black kite,20230324,24,Rocks,sunny,20230324_24
2283,indian white eye,20230324,25,Rocks,sunny,20230324_25
2284,rose ringed parakeet,20230324,26,Rocks,sunny,20230324_26
2285,ashy drongo,20230324,26,Rocks,sunny,20230324_26
2286,red whiskered bulbul,20230324,28,Rocks,sunny,20230324_28
2287,indian blue robin,20230324,28,Rocks,sunny,20230324_28
2288,forest wagtail,20230324,28,Rocks,sunny,20230324_28
2289,ashy drongo,20230324,29,Rocks,sunny,20230324_29
2290,black kite,20230324,29,Rocks,sunny,20230324_29
2291,oriental magpie robin,20230324,30,Rocks,sunny,20230324_30
2292,oriental magpie robin,20230324,31,Rocks,sunny,20230324_31
2293,orange headed thrush,20230324,31,Rocks,sunny,20230324_31
2294,blythes reed warbler,20230324,33,Rocks,sunny,20230324_33
2295,blythes reed warbler,20230324,34,Rocks,sunny,20230324_34
2296,ashy drongo,20230324,39,Rocks,sunny,20230324_39
2297,pale billed flowerpecker,20230324,41,Rocks,sunny,20230324_41
2298,black kite,20230324,43,Rocks,sunny,20230324_43
2299,rose ringed parakeet,20230324,44,Rocks,sunny,20230324_44
2300,ashy prinia,20230324,44,Rocks,sunny,20230324_44
2301,large billed crow,20230324,44,Rocks,sunny,20230324_44
2302,red whiskered bulbul,20230324,45,Rocks,sunny,20230324_45
2303,spotted dove,20230324,45,Rocks,sunny,20230324_45
2304,ashy prinia,20230324,46,Rocks,sunny,20230324_46
2305,cinerous tit,20230324,46,Rocks,sunny,20230324_46
2306,blythes reed warbler,20230324,46,Rocks,sunny,20230324_46
2307,cinerous tit,20230324,47,Rocks,sunny,20230324_47
2308,blue capped rock thrush,20230324,48,Rocks,sunny,20230324_48
2309,indian blue robin,20230324,49,Rocks,sunny,20230324_49
2310,cinerous tit,20230324,49,Rocks,sunny,20230324_49
2311,blythes reed warbler,20230324,50,Rocks,sunny,20230324_50
2312,indian blue robin,20230324,50,Rocks,sunny,20230324_50
2313,red whiskered bulbul,20230324,50,Rocks,sunny,20230324_50
2314,cinerous tit,20230324,50,Rocks,sunny,20230324_50
2315,red whiskered bulbul,20230324,54,Rocks,sunny,20230324_54
2316,cinerous tit,20230324,54,Rocks,sunny,20230324_54
2317,blythes reed warbler,20230324,54,Rocks,sunny,20230324_54
2318,large billed crow,20230323,0,B7,cloudy,20230323_0
2319,large billed crow,20230323,1,B7,cloudy,20230323_1
2320,black kite,20230323,1,B7,cloudy,20230323_1
2321,rose ringed parakeet,20230323,2,B7,cloudy,20230323_2
2322,rock pigeon,20230323,2,B7,cloudy,20230323_2
2323,large billed crow,20230323,3,B7,cloudy,20230323_3
2324,black kite,20230323,4,B7,cloudy,20230323_4
2325,oriental magpie robin,20230323,7,B7,cloudy,20230323_7
2326,oriental magpie robin,20230323,8,B7,cloudy,20230323_8
2327,large billed crow,20230323,21,B7,cloudy,20230323_21
2328,rose ringed parakeet,20230323,22,B7,cloudy,20230323_22
2329,large billed crow,20230323,22,B7,cloudy,20230323_22
