Index,File,Time,Battery (V),Temperature (C),Comment
62,20240305_070608.WAV,2024-03-05T07:06:08+05:30,3.8,23.7,Recorded at 07:06:08 05/03/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.8V and temperature was 23.7C. Recording stopped due to switch position change.
63,20240306_070500.WAV,2024-03-06T07:05:00+05:30,3.8,25.6,Recorded at 07:05:00 06/03/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.8V and temperature was 25.6C. Recording stopped due to switch position change.
64,20240319_070504.WAV,2024-03-19T07:05:04+05:30,3.8,25.5,Recorded at 07:05:04 19/03/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.8V and temperature was 25.5C. Recording stopped due to switch position change.
65,20240320_070340.WAV,2024-03-20T07:03:40+05:30,3.7,25.3,Recorded at 07:03:40 20/03/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.7V and temperature was 25.3C. Recording stopped due to switch position change.
66,20240321_070355.WAV,2024-03-21T07:03:55+05:30,3.7,26.1,Recorded at 07:03:55 21/03/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.7V and temperature was 26.1C. Recording stopped due to switch position change.
67,20240410_070525.WAV,2024-04-10T07:05:25+05:30,3.8,26.0,Recorded at 07:05:25 10/04/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.8V and temperature was 26.0C. Recording stopped due to switch position change.
68,20240411_070911.WAV,2024-04-11T07:09:11+05:30,3.6,25.2,Recorded at 07:09:11 11/04/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.6V and temperature was 25.2C. Recording stopped due to switch position change.
69,20240411_080345.WAV,2024-04-11T08:03:45+05:30,3.7,30.1,Recorded at 08:03:45 11/04/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.7V and temperature was 30.1C. Recording stopped due to switch position change.
70,20240412_070516.WAV,2024-04-12T07:05:16+05:30,3.6,28.5,Recorded at 07:05:16 12/04/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.6V and temperature was 28.5C. Recording stopped due to switch position change.
71,20240508_070703.WAV,2024-05-08T07:07:03+05:30,3.7,27.9,Recorded at 07:07:03 08/05/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.7V and temperature was 27.9C. Recording stopped due to switch position change.
72,20240509_070654.WAV,2024-05-09T07:06:54+05:30,3.6,26.9,Recorded at 07:06:54 09/05/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.6V and temperature was 26.9C. Recording stopped due to switch position change.
73,20240510_070406.WAV,2024-05-10T07:04:06+05:30,3.5,25.6,Recorded at 07:04:06 10/05/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.5V and temperature was 25.6C. Recording stopped due to switch position change.
74,20240522_070545.WAV,2024-05-22T07:05:45+05:30,3.5,24.8,Recorded at 07:05:45 22/05/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.5V and temperature was 24.8C. Recording stopped due to switch position change.
75,20240522_080742.WAV,2024-05-22T08:07:42+05:30,3.5,33.7,Recorded at 08:07:42 22/05/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.5V and temperature was 33.7C. Recording stopped due to switch position change.
76,20240523_070634.WAV,2024-05-23T07:06:34+05:30,3.6,27.1,Recorded at 07:06:34 23/05/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.6V and temperature was 27.1C. Recording stopped due to switch position change.
77,20240523_080759.WAV,2024-05-23T08:07:59+05:30,3.4,26.9,Recorded at 08:07:59 23/05/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.4V and temperature was 26.9C. Recording stopped due to switch position change.
78,20240523_080802.WAV,2024-05-23T08:08:02+05:30,3.4,26.9,Recorded at 08:08:02 23/05/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.4V and temperature was 26.9C. Recording stopped due to file size limit.
79,20240523_203343.WAV,2024-05-23T20:33:43+05:30,3.4,30.9,Recorded at 20:33:43 23/05/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.4V and temperature was 30.9C.
80,20240524_053002.WAV,2024-05-24T05:30:02+05:30,3.4,29.9,Recorded at 05:30:02 24/05/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.4V and temperature was 29.9C. Recording stopped due to switch position change.
